career,slug,track,A_2023,A_2025,A_2026,E_2023,E_2025,E_2026,P,T,R,J,contrib_A,contrib_E,contrib_P,contrib_T,contrib_R,contrib_J,score_2023,score_2025,score_2026,movement
Nursing,nursing,"Bedside RN (hospital, acute care)",4.3,5.0,6.1,1.5,1.8,2.0,9.2,9.5,9.5,8.8,2.135,0.3,0.12,0.075,0.05,0.12,2.1,2.4,2.8,0.7
Nursing,nursing,Community / home health nursing,4.1,4.6,5.4,1.8,2.0,2.2,8.8,9.5,9.5,8.2,1.89,0.33,0.18,0.075,0.05,0.18,2.2,2.4,2.7,0.5
Nursing,nursing,"Specialist clinical (ICU, ED, peri-op)",3.4,3.9,4.8,1.8,2.0,2.0,9.0,9.5,9.5,8.5,1.68,0.3,0.15,0.075,0.05,0.15,1.9,2.1,2.4,0.5
Nursing,nursing,Nurse practitioner / advanced practice,4.9,5.7,6.4,2.0,2.2,2.5,8.0,9.5,9.5,8.5,2.24,0.375,0.3,0.075,0.05,0.15,2.6,2.9,3.2,0.6
Nursing,nursing,Telehealth triage,3.9,5.7,6.6,3.5,4.0,4.5,2.0,7.0,9.0,5.5,2.31,0.675,1.2,0.45,0.1,0.45,4.1,4.8,5.2,1.1
Nursing,nursing,Utilization review / case management (desk),3.4,5.1,6.1,4.0,4.5,5.0,1.5,6.0,8.5,5.0,2.135,0.75,1.275,0.6,0.15,0.5,4.3,5.0,5.4,1.1
Medicine,medicine,Surgery,3.9,4.1,4.5,1.0,1.2,1.5,9.5,9.5,9.5,9.0,1.575,0.225,0.075,0.075,0.05,0.1,1.8,1.9,2.1,0.3
Medicine,medicine,Emergency medicine,4.3,4.8,5.5,1.0,1.2,1.5,9.0,9.5,9.5,9.2,1.925,0.225,0.15,0.075,0.05,0.08,2.0,2.2,2.5,0.5
Medicine,medicine,Primary care / family medicine,4.8,5.3,6.0,1.0,1.2,1.5,8.0,9.5,9.5,8.5,2.1,0.225,0.3,0.075,0.05,0.15,2.4,2.6,2.9,0.5
Medicine,medicine,Anesthesiology,5.6,6.1,6.6,1.0,1.2,1.5,8.0,9.5,9.5,8.5,2.31,0.225,0.3,0.075,0.05,0.15,2.7,2.9,3.1,0.4
Medicine,medicine,Psychiatry,6.0,6.7,7.4,1.2,1.5,1.8,6.0,9.5,9.5,9.0,2.59,0.27,0.6,0.075,0.05,0.1,3.1,3.4,3.7,0.6
Medicine,medicine,Pathology,6.2,7.5,8.6,1.5,1.8,2.0,5.0,8.0,9.5,7.0,3.01,0.3,0.75,0.3,0.05,0.3,3.8,4.3,4.7,0.9
Medicine,medicine,Radiology,6.3,7.6,8.9,1.5,1.8,2.0,4.5,8.0,9.5,7.0,3.115,0.3,0.825,0.3,0.05,0.3,3.9,4.4,4.9,1.0
Dentistry,dentistry,Oral & maxillofacial surgery,4.2,4.6,4.8,1.2,1.5,1.8,9.5,9.5,9.5,8.5,1.68,0.27,0.075,0.075,0.05,0.15,2.0,2.2,2.3,0.3
Dentistry,dentistry,General dentistry,4.7,5.1,5.6,1.5,1.8,2.0,9.3,9.5,9.5,8.0,1.96,0.3,0.105,0.075,0.05,0.2,2.3,2.5,2.7,0.4
Dentistry,dentistry,Dental hygiene,4.7,5.2,5.7,1.8,2.0,2.2,9.2,9.0,9.0,7.0,1.995,0.33,0.12,0.15,0.1,0.3,2.6,2.8,3.0,0.4
Dentistry,dentistry,Orthodontics,5.6,6.7,7.7,2.0,2.2,2.5,8.5,9.0,9.5,7.0,2.695,0.375,0.225,0.15,0.05,0.3,3.0,3.4,3.8,0.8
Dentistry,dentistry,Dental laboratory technology,3.5,4.4,5.1,4.5,5.0,5.5,5.0,4.0,3.0,4.5,1.785,0.825,0.75,0.9,0.7,0.55,4.8,5.2,5.5,0.7
Veterinary Medicine,veterinary,Emergency & critical care,4.4,4.8,5.3,1.2,1.5,1.8,9.5,9.5,9.5,9.2,1.855,0.27,0.075,0.075,0.05,0.08,2.0,2.2,2.4,0.4
Veterinary Medicine,veterinary,Large animal / mixed practice,4.3,4.7,5.4,1.2,1.5,1.8,9.5,9.3,9.5,9.0,1.89,0.27,0.075,0.105,0.05,0.1,2.0,2.2,2.5,0.5
Veterinary Medicine,veterinary,Veterinary specialist / surgery,4.3,4.7,5.4,1.2,1.5,1.8,9.5,9.3,9.5,9.0,1.89,0.27,0.075,0.105,0.05,0.1,2.0,2.2,2.5,0.5
Veterinary Medicine,veterinary,Small animal general practice,4.6,5.3,5.8,1.5,1.8,2.0,9.2,9.3,9.5,9.0,2.03,0.3,0.12,0.105,0.05,0.1,2.2,2.5,2.7,0.5
Veterinary Medicine,veterinary,Veterinary nurse / technician,4.4,4.9,5.6,1.8,2.0,2.2,9.2,8.5,8.5,8.0,1.96,0.33,0.12,0.225,0.15,0.2,2.5,2.7,3.0,0.5
Veterinary Medicine,veterinary,Lab / diagnostic veterinary roles,4.5,5.4,6.4,3.5,4.0,4.5,4.0,5.0,6.0,5.5,2.24,0.675,0.9,0.75,0.4,0.45,4.6,5.0,5.4,0.8
Physical Therapy & Allied Health,allied-health,Physical therapy (hands-on),4.1,4.5,5.2,1.2,1.5,1.8,9.5,9.3,9.3,8.5,1.82,0.27,0.075,0.105,0.07,0.15,2.0,2.2,2.5,0.5
Physical Therapy & Allied Health,allied-health,Occupational therapy,4.3,4.7,5.5,1.2,1.5,1.8,9.4,9.3,9.3,8.5,1.925,0.27,0.09,0.105,0.07,0.15,2.1,2.3,2.6,0.5
Physical Therapy & Allied Health,allied-health,Speech-language pathology,5.2,5.7,6.4,1.5,1.8,2.0,8.5,9.3,9.3,8.5,2.24,0.3,0.225,0.105,0.07,0.15,2.6,2.8,3.1,0.5
Physical Therapy & Allied Health,allied-health,Respiratory therapy,5.1,5.6,6.3,1.5,1.8,2.0,8.8,9.0,9.3,8.2,2.205,0.3,0.18,0.15,0.07,0.18,2.6,2.8,3.1,0.5
Physical Therapy & Allied Health,allied-health,Diagnostic imaging technologist,4.9,6.1,7.0,2.5,3.0,3.4,7.5,7.0,8.5,5.5,2.45,0.51,0.375,0.45,0.15,0.45,3.5,4.0,4.4,0.9
Physical Therapy & Allied Health,allied-health,Records / screen-based allied roles,4.6,5.9,7.1,4.5,5.0,5.5,1.5,5.5,7.0,4.5,2.485,0.825,1.275,0.675,0.3,0.55,5.1,5.6,6.1,1.0
Pharmacy,pharmacy,Clinical / hospital pharmacy,5.0,5.7,6.4,2.5,2.8,3.2,5.0,8.5,9.5,7.5,2.24,0.48,0.75,0.225,0.05,0.25,3.4,3.7,4.0,0.6
Pharmacy,pharmacy,Ambulatory & specialty pharmacy,5.5,6.2,6.9,2.8,3.2,3.5,4.5,8.2,9.5,7.0,2.415,0.525,0.825,0.27,0.05,0.3,3.8,4.1,4.4,0.6
Pharmacy,pharmacy,Community / retail pharmacy,5.3,6.3,7.0,3.2,3.6,4.0,3.5,7.5,9.5,5.5,2.45,0.6,0.975,0.375,0.05,0.45,4.2,4.6,4.9,0.7
Pharmacy,pharmacy,Pharmacy technician,4.6,5.8,6.7,4.0,4.5,5.0,3.5,5.5,6.5,4.0,2.345,0.75,0.975,0.675,0.35,0.6,4.8,5.3,5.7,0.9
Pharmacy,pharmacy,Central fill / mail order,5.8,7.2,8.4,5.5,6.2,6.8,2.0,4.0,8.5,3.0,2.94,1.02,1.2,0.9,0.15,0.7,5.8,6.4,6.9,1.1
